Designator,Mid X,Mid Y,Rotation,Layer
D1,124.609538,-97.96911,0.0,bottom
D10,288.859538,-97.96911,0.0,bottom
D11,136.348212,-122.868334,0.0,bottom
D12,147.109538,-114.96911,0.0,bottom
D13,165.109538,-114.96911,0.0,bottom
D14,183.109538,-114.96911,0.0,bottom
D15,201.109538,-114.96911,0.0,bottom
D16,219.109538,-114.96911,0.0,bottom
D17,237.109538,-114.96911,0.0,bottom
D18,255.109538,-114.96911,0.0,bottom
D19,273.109538,-114.96911,0.0,bottom
D2,142.609538,-97.96911,0.0,bottom
D20,289.731899,-127.204304,0.0,bottom
D21,131.359538,-131.96911,0.0,bottom
D22,156.109538,-131.96911,0.0,bottom
D23,174.109538,-131.96911,0.0,bottom
D24,192.109538,-131.96911,0.0,bottom
D25,210.109538,-131.96911,0.0,bottom
D26,228.109538,-131.96911,0.0,bottom
D27,246.109538,-131.96911,0.0,bottom
D28,264.109538,-131.96911,0.0,bottom
D29,286.609538,-131.96911,0.0,bottom
D3,160.609538,-97.96911,0.0,bottom
D30,124.609538,-148.96911,0.0,bottom
D31,142.609538,-148.96911,0.0,bottom
D32,160.609538,-148.96911,0.0,bottom
D33,189.859538,-148.96911,0.0,bottom
D34,228.109538,-148.96911,0.0,bottom
D35,255.109538,-148.96911,0.0,bottom
D36,273.109538,-148.96911,0.0,bottom
D37,291.109538,-148.96911,0.0,bottom
D4,178.609538,-97.96911,0.0,bottom
D5,196.609538,-97.96911,0.0,bottom
D6,214.609538,-97.96911,0.0,bottom
D7,232.609538,-97.96911,0.0,bottom
D8,250.609538,-97.96911,0.0,bottom
D9,268.609538,-97.96911,0.0,bottom
PWR1,119.987826,-119.640063,90.0,bottom
RST1,303.162826,-136.640063,90.0,bottom
SW1,128.737826,-102.640063,0.0,top
SW10,292.987826,-102.640063,0.0,top
SW11,130.987826,-119.640063,180.0,top
SW12,151.237826,-119.640063,0.0,top
SW13,169.237826,-119.640063,0.0,top
SW14,187.237826,-119.640063,0.0,top
SW15,205.237826,-119.640063,0.0,top
SW16,223.237826,-119.640063,0.0,top
SW17,241.237826,-119.640063,0.0,top
SW18,259.237826,-119.640063,0.0,top
SW19,277.237826,-119.640063,0.0,top
SW2,146.737826,-102.640063,0.0,top
SW20,295.237826,-119.640063,0.0,top
SW21,135.487826,-136.640063,0.0,top
SW22,160.237826,-136.640063,0.0,top
SW23,178.237826,-136.640063,0.0,top
SW24,196.237826,-136.640063,0.0,top
SW25,214.237826,-136.640063,0.0,top
SW26,232.237826,-136.640063,0.0,top
SW27,250.232807,-136.640063,0.0,top
SW28,268.237826,-136.640063,0.0,top
SW29,290.737826,-136.640063,0.0,top
SW3,164.737826,-102.640063,0.0,top
SW30,128.737826,-153.640063,0.0,top
SW31,146.737826,-153.640063,0.0,top
SW32,164.737826,-153.640063,0.0,top
SW33,193.987826,-153.640063,0.0,top
SW34,232.237826,-153.640063,0.0,top
SW35,259.237826,-153.640063,0.0,top
SW36,277.237826,-153.640063,0.0,top
SW37,295.237826,-153.640063,0.0,top
SW4,182.737826,-102.640063,0.0,top
SW5,200.737826,-102.640063,0.0,top
SW6,218.737826,-102.640063,0.0,top
SW7,236.737826,-102.640063,0.0,top
SW8,254.737826,-102.640063,0.0,top
SW9,272.737826,-102.640063,0.0,top
